camp_name,address,category,director,operator,city,state,accredited-member,programs,zip_code,nogeo,latitude,longitude
Sertoma 4-H Center,1105 Camp Sertoma Dr,4-H Clubs,Keith Russell,NC State University 4-H Department,Westfield,NC,,1.0,27053-7366,"1105 Camp Sertoma Dr, Westfield, NC, 27053-7366, USA",36.4184284,-80.30598959999999
City Camp,644 Memorial Dr SE,"Independent, Not for Profit",Bill Mickler,City Camp,Atlanta,GA,,1.0,30312-2314,"644 Memorial Dr SE, Atlanta, GA, 30312-2314, USA",33.7468889,-84.3664673
The Northwest School International Summer Camp,1415 Summit Ave,School (Elementary/Middle/High),Van Nguyen,The Northwest School International Summer Camp,Seattle,WA,,1.0,98122-3619,"1415 Summit Ave, Seattle, WA, 98122-3619, USA",47.6134405,-122.3259273
Stepping Forward,26 Main St,"Independent, For Profit",Anne Pereira,Stepping Forward Counseling Center,Chatham,NJ,,1.0,07928-2425,"26 Main St, Chatham, NJ, 07928-2425, USA",40.7398171,-74.37277089999999
Camp Parkwood,38 Stepping Stone Ln,,,Great Neck Park District,Great Neck,NY,,1.0,11024-1314,"38 Stepping Stone Ln, Great Neck, NY, 11024-1314, USA",40.8159424,-73.75614139999999
Unity College Summer Camps,90 Quaker Hill Rd,,,Unity College-Events and Summer Programs Department,Unity,ME,,5.0,04988-3712,"90 Quaker Hill Rd, Unity, ME, 04988-3712, USA",44.6032723,-69.3308081
Summerstock Sleepaway Camp,256 Macopin Rd,,,Vanguard Theater Company,West Milford,NJ,,1.0,07480-3718,"256 Macopin Rd, West Milford, NJ, 07480-3718, USA",41.0183689,-74.36214009999999
Ozark Natural Science Center,1905 Madison 1305,"Independent, Not for Profit",Beth Stephens,New Hope Camp and Conference Center (PCCCA),Huntsville,AR,,1.0,72740-7846,"1905 Madison 1305, Huntsville, AR, 72740-7846, USA",36.2568008,-93.7039705
S-F Scout Ranch,Hwy 67,Boy Scouts of America,,Greater St Louis Area Council,Knob Lick,MO,,1.0,63651,"Hwy 67, Knob Lick, MO, 63651, USA",38.2988052,-90.4022071
Hawthorn Hollow,1046 Mayer Rd,Girl Scouts of the USA,Jenny Fehn,Girl Scouts - Southeastern Michigan,Columbus,MI,,1.0,48063-2704,"1046 Mayer Rd, Columbus, MI, 48063-2704, USA",42.87255649999999,-82.618254
Camp 42,PO Box 2643Summerville,Atheist/Humanist,Amy Monsky,CAMP-A FASD Community (Operator),Aiken,SC,,3.0,29484-2643,"PO Box 2643Summerville, Aiken, SC, 29484-2643, USA",33.0200158,-80.1800059
Zambo,"Palomino Palomono,  4",,,Zambo (Operator),La Guajira,NU,,1.0,44600,"Palomino Palomono,  4, La Guajira, NU, 44600, USA",38.7945952,-106.5348379
Camp Unirondack,8722 Unirondack Road,Nondenominational Christian,,Camp Balcones Springs (Operator),Lowville,NY,,1.0,13367,"8722 Unirondack Road, Lowville, NY, 13367, USA",43.8704614,-75.15420189999999
Camp99,3609 W MacArthur Blvd,Islam,Ahmad Almutawa,Camp99 (Operator),Santa Ana,CA,,2.0,92704-6850,"3609 W MacArthur Blvd, Santa Ana, CA, 92704-6850, USA",33.7031689,-117.9167527
Emagination STEM Camps - IL,1500 W Kennedy Rd,"Independent, For Profit",,Castellicap1,Lake Forest,IL,,1.0,60045-1047,"1500 W Kennedy Rd, Lake Forest, IL, 60045-1047, USA",42.2476373,-87.8913218
Science Camps of America,Maile Street,"Independent, Not for Profit",Michael Richards,Oregon-Idaho Conference (UMCRM),Pahala,HI,,2.0,96777,"Maile Street, Pahala, HI, 96777, USA",19.1958475,-155.4796977
Camp Cedars,2898 Tom Lee Rd,,,Gillwell Foundation,Cedar Bluffs,NE,,2.0,68015-3312,"2898 Tom Lee Rd, Cedar Bluffs, NE, 68015-3312, USA",41.4307305,-96.5849667
"Casowasco Camp, Conference and Retreat Center",,United Methodist,Mike Huber,Upper NY Annual Conference UMC (UMCRM),Moravia,NY,,1.0,,"nan, Moravia, NY, nan, USA",42.7324803,-76.4331698
Camp Arrowhead,"1415 Cabin Creek RoadZirconia, NC","Independent, For Profit",Max King,Camp Arrowhead Operations,Lewes,DE,Accredited Member,4.0,28790,"1415 Cabin Creek RoadZirconia, NC, Lewes, DE, 28790, USA",35.7595731,-79.01929969999999
Camp Arrowhead,"1415 Cabin Creek RoadZirconia, NC","Independent, For Profit",Max King,Camp Arrowhead Operations,Lewes,DE,,3.0,28790,"1415 Cabin Creek RoadZirconia, NC, Lewes, DE, 28790, USA",35.7595731,-79.01929969999999
Camp Arrowhead,1415 Cabin Creek Road,"Independent, For Profit",Max King,Camp Arrowhead Operations,Zirconia,NC,,1.0,28790,"1415 Cabin Creek Road, Zirconia, NC, 28790, USA",35.2038563,-82.4911387
Fountain Valley School Summer Session,6155 Fountain Valley School Rd,School (Elementary/Middle/High),Blake Pelton,Fountain Valley School of Colorado,Colorado Springs,CO,,1.0,80911-2251,"6155 Fountain Valley School Rd, Colorado Springs, CO, 80911-2251, USA",38.7462505,-104.709805
Louisiana Lions Camp,292 L Beauford DrAnacoco,Lions Club,Ray Cecil III,Louisiana Lions League Inc,Leesville,LA,,2.0,71403-3258,"292 L Beauford DrAnacoco, Leesville, LA, 71403-3258, USA",31.2130132,-93.32691009999999
Uskichitto Retreat Center,590 Retreat Rd,,,Uskichitto Retreat Center (Operator) (UMCRM),Leblanc,LA,,1.0,70651,"590 Retreat Rd, Leblanc, LA, 70651, USA",30.5487965,-92.93237110000001
Camp Skimino,448 Fenton Mill Rd,,,Girl Scouts - Colonial Coast,Williamsburg,VA,,1.0,23188-1827,"448 Fenton Mill Rd, Williamsburg, VA, 23188-1827, USA",37.3686898,-76.73816839999999
Ontario Bible Camp and Conference,385 Lakeview Rd,Nondenominational Christian,Brian & Ruth Ann Lewis,Ontario Bible Camp and Conference,Oswego,NY,,2.0,13126-5979,"385 Lakeview Rd, Oswego, NY, 13126-5979, USA",43.5132508,-76.424791
FONZ Nature Camp,1500 Remount Rd,"Independent, Not for Profit",Colleen Bernard,ExploreHope at Hope College,Front Royal,VA,,2.0,22630-5972,"1500 Remount Rd, Front Royal, VA, 22630-5972, USA",38.8879892,-78.1664996
Camp Challenge,292 L Beauford DrAnacoco,,,Camp Challenge Inc,New Orleans,LA,,1.0,71403-3258,"292 L Beauford DrAnacoco, New Orleans, LA, 71403-3258, USA",31.2130132,-93.32691009999999
Camp Challenge,"292 L Beauford DrAnacoco, LA",,,Camp Challenge Inc,Bedford,IN,,1.0,71403-3258,"292 L Beauford DrAnacoco, LA, Bedford, IN, 71403-3258, USA",31.2130132,-93.32691009999999
Camp St. John's Northwestern Summer Academy,1101 Genesee St,"Independent, Not for Profit",,St Johns Northwestern Military Academy,Delafield,WI,,2.0,53018-1411,"1101 Genesee St, Delafield, WI, 53018-1411, USA",43.0640576,-88.4061617
TASC Canadian Wilderness Fishing Camps,"Box 308, ON P0M 1W0CANADA","Independent, For Profit",Paul Oesterreicher,TASC Canadian Wilderness Fishing Camps,Gogama,NU,,1.0,,"Box 308, ON P0M 1W0CANADA, Gogama, NU, nan, USA",38.7945952,-106.5348379
Camp Widewater,4050 US-24,United Methodist,Eric Witte,West Ohio Conf of United Methodist (UMCRM),Liberty Center,OH,,3.0,43532,"4050 US-24, Liberty Center, OH, 43532, USA",39.1168631,-95.0000816
Emagination STEM Camps - VA,2807 N Glebe Rd,"Independent, For Profit",,Castellicap1,Arlington,VA,,1.0,22207-4224,"2807 N Glebe Rd, Arlington, VA, 22207-4224, USA",38.9057113,-77.12722149999999
SeaTrek BVI,"1300 Big Pine AveTortola, MI","Independent, For Profit",Monk Daniel,Seacamp Association Inc,,,,1.0,00000,"1300 Big Pine AveTortola, MI, nan, nan, 00000, USA",44.3148443,-85.60236429999999
Camp Blue Hawk,1000 N Lincoln Blvd Ste 1200Oklahoma City,College or University,Elvie Ellis,Harold Hamm Diabetes Center - UOK,Wewoka,OK,,2.0,73104-3252,"1000 N Lincoln Blvd Ste 1200Oklahoma City, Wewoka, OK, 73104-3252, USA",35.4771665,-97.5011214
Catch A Rainbow,6941 Stoney Lake Rd,American Cancer Society,Katie Wilson,American Cancer Society,Jackson,MI,,1.0,49201-9220,"6941 Stoney Lake Rd, Jackson, MI, 49201-9220, USA",42.1585231,-84.2916618
AndrewsCamps- Clark Creek Lodge,36333 Clark Creek Rd,"Independent, For Profit",Andrew Frierson,AndrewsCamps,Burney,CA,,1.0,36333,"36333 Clark Creek Rd, Burney, CA, 36333, USA",41.0441559,-121.6740365
Green River Outreach for Wilderness Foundation,,Nondenominational Christian,Ian Roberts,Green River Outreach for Wilderness Foundation (Operator),Boulder,WY,,2.0,,"nan, Boulder, WY, nan, USA",42.74616109999999,-109.7205643
Camp Kesem,440 N Barranca Ave # 2273,,,Camp Kesem (Operator),Covina,CA,,1.0,91723-1722,"440 N Barranca Ave # 2273, Covina, CA, 91723-1722, USA",34.0901483,-117.8812267
Camp Wawona,8110 Forest,Seventh-day Adventist,Norma Villarreal,Central California Conference (SDA),Wawona,CA,,1.0,95389,"8110 Forest, Wawona, CA, 95389, USA",37.5429525,-119.6294742
Center Ridge Outpost,PO Box 37,"Independent, Not for Profit",Dr. Mark H. Yeager,Center Ridge Outpost,Mize,MS,,1.0,39116-0037,"PO Box 37, Mize, MS, 39116-0037, USA",31.9287149,-89.4714909
FDL Camp Solutions,2818 W Brooke Ave,"Independent, For Profit",Clay Ipsen,FDL Camp Solutions,Visalia,CA,,1.0,93291-6517,"2818 W Brooke Ave, Visalia, CA, 93291-6517, USA",36.3598007,-119.3228604
Muslim Youth Camp of California,,Islam,Amira Quraishi,Muslim Youth Camp of California,Wrightwood,CA,,1.0,,"nan, Wrightwood, CA, nan, USA",34.3608341,-117.6333884
GATEway Miami-Orlando Summer Experience,601 NE 107 St,,,GATEway Miami-Orlando Summer Experience,Miami,FL,,2.0,33161,"601 NE 107 St, Miami, FL, 33161, USA",25.873881,-80.1844224
Camp Oswego,2276 Old Route 17,"Independent, For Profit",Fikry Fahmy,Camp Oswego (Operator),Windsor,NY,,1.0,13865-2913,"2276 Old Route 17, Windsor, NY, 13865-2913, USA",42.0377882,-75.54270340000001
Camp Needles in the Pines,2150 Herbert Ct,,,Camp Needles in the Pines,Greenville,NC,,1.0,27834-3736,"2150 Herbert Ct, Greenville, NC, 27834-3736, USA",35.6037141,-77.4091335
Constructing Assured and Motivated People C.A.M.P.,,"Independent, Not for Profit",David A. Brizius,SFA (Staff Friends and Alumni of C.A.M.P.),Laurelville,OH,,1.0,,"nan, Laurelville, OH, nan, USA",39.473397,-82.73933629999999
Salt Lake County District Attorney's Office - Camp HOPE,35 E 500 S,"Government, State/Federal",,Camp HOPE America,Salt Lake City,UT,,1.0,84111-3200,"35 E 500 S, Salt Lake City, UT, 84111-3200, USA",40.7588826,-111.8901162
Buckhorn United Methodist Camp,381 Old Camp Rd,,,Mountain Sky Conference UMC (UMCRM),Bellvue,CO,,1.0,80512-6031,"381 Old Camp Rd, Bellvue, CO, 80512-6031, USA",40.5979403,-105.3103769
Camp Whittier,2400 Highway 154,Boys & Girls Clubs of America,Debi Hite,United Boys and Girls Clubs of Santa Barbara County,Santa Barbara,CA,,1.0,93105-9797,"2400 Highway 154, Santa Barbara, CA, 93105-9797, USA",34.56730870000001,-119.9548886
Red Willow Bible Camp,1651 Jacob Dr,"Lutheran, ELCA",Rick Frederick,Red Willow Ministries (LOM),Binford,ND,,2.0,58416-9432,"1651 Jacob Dr, Binford, ND, 58416-9432, USA",47.649482,-98.36888800000001
Rotary Youth Camp,PO Box 10426,"Independent, Not for Profit",Joyce Dove,Rotary Youth Camp of North Florida Inc,Tallahassee,FL,,1.0,10426,"PO Box 10426, Tallahassee, FL, 10426, USA",30.4381828,-84.28062349999999
Alpine Camp and Conference Center,415 Club House Dr,"Evangelical, Covenant",Melody Johnson,Alpine Camp and Conference Center Inc,Blue Jay,CA,,1.0,92317,"415 Club House Dr, Blue Jay, CA, 92317, USA",34.2452398,-117.2261576
Camp Blue Ridge,529 Old Mill Rd,,,Potomac Conference of Seventh Day Adventist (SDA),Montebello,VA,,1.0,24464-2401,"529 Old Mill Rd, Montebello, VA, 24464-2401, USA",37.852967,-79.12893199999999
Camp Nidaros,2445 SW 87th Ave,,,Sons of Norway Youth Camps District 2,Portland,OR,,1.0,97225-4005,"2445 SW 87th Ave, Portland, OR, 97225-4005, USA",45.5021305,-122.7673941
Camp Conquest,"3934 W Union RdMillington, TN","Independent, Not for Profit",Mark Price,Camp Conquest (Operator),Denver,PA,Accredited Member,4.0,38053-4378,"3934 W Union RdMillington, TN, Denver, PA, 38053-4378, USA",35.5174913,-86.5804473
Camp Conquest,3934 W Union RdMillington,"Independent, Not for Profit",Mark Price,Camp Conquest (Operator),Memphis,TN,,1.0,38053-4378,"3934 W Union RdMillington, Memphis, TN, 38053-4378, USA",35.3675654,-89.9310153
Bishopswood,98 Bishopswood Rd,,,Camp Bishopswood (Operator),Hope,ME,,1.0,04847-3141,"98 Bishopswood Rd, Hope, ME, 04847-3141, USA",44.2615412,-69.130354
Night Eagle Wilderness,,"Independent, For Profit",Bruce Moreton,Night Eagle Wilderness Adventure,E Wallingford,VT,,1.0,,"nan, E Wallingford, VT, nan, USA",43.4819543,-72.9549623
Camp at the Eastward,68 Sawyers Mills Rd,Presbyterian,Amber Sturtevant,Camp at the Eastward,Starks,ME,,1.0,04911-4649,"68 Sawyers Mills Rd, Starks, ME, 04911-4649, USA",44.7373679,-69.9600324
Camp Ta-Kum-Ta,PO Box 459,,,Camp Ta-Kum-Ta,South Hero,VT,,2.0,05486-0459,"PO Box 459, South Hero, VT, 05486-0459, USA",44.6458286,-73.30256229999999
Camp Tuolumne Trails,22988 Ferretti Rd,"Independent, Not for Profit",John Infelise,Jerry and Paula Baker Fundation,Groveland,CA,,1.0,22988,"22988 Ferretti Rd, Groveland, CA, 22988, USA",37.8447325,-120.1322075
Leangap,485 Massachusetts Ave Ste 300,,,Leangap,Cambridge,MA,,1.0,02139-4082,"485 Massachusetts Ave Ste 300, Cambridge, MA, 02139-4082, USA",42.3642248,-71.1010936
Cyber Science Camp,125 College Dr,College or University,Laura Ryan,Cyber Science Camp,Casper,WY,,1.0,82601,"125 College Dr, Casper, WY, 82601, USA",42.8315615,-106.3250228
Newsroom by the Bay,615 Escondido Rd,College or University,Beatrice Y Motamedi,Newsroom by the Bay LLC,Stanford,CA,,1.0,94305-7031,"615 Escondido Rd, Stanford, CA, 94305-7031, USA",37.4255342,-122.1652696
Camp Trollfjell,PO Box 622,,,Sons of Norway District 6,Alta,CA,,1.0,95701-0622,"PO Box 622, Alta, CA, 95701-0622, USA",39.206736,-120.8114612
Camp Monroe,"24501 Camp RdLaurel Hill, NC",,,Monroe Camp and Retreat Center (PCCCA),Monroe,NY,,1.0,24501,"24501 Camp RdLaurel Hill, NC, Monroe, NY, 24501, USA",35.7595731,-79.01929969999999
Camp Monroe,24501 Camp Rd,,,Monroe Camp and Retreat Center (PCCCA),Laurel Hill,NC,,1.0,24501,"24501 Camp Rd, Laurel Hill, NC, 24501, USA",34.8866229,-79.48949979999999
Camp Lightbulb LA,1436 2nd St,"Independent, Not for Profit",Puck Markham,Camp Lightbulb Inc (Operator),Santa Monica,CA,,1.0,90401-2302,"1436 2nd St, Santa Monica, CA, 90401-2302, USA",34.01396830000001,-118.4963921
Rapahope Children's Retreat Foundation,2701 Airport Blvd,Children's Oncology Camp Association,Melissa McNichol,Rapahope Children's Retreat Foundation (Operator),Mobile,AL,,1.0,36606-2319,"2701 Airport Blvd, Mobile, AL, 36606-2319, USA",30.6758809,-88.10632989999999
Camp McCall,108 Ambassador Rd,"Baptist, Southern",Matt Allen,Camp McCall SC (Operator),Sunset,SC,,2.0,29685-2902,"108 Ambassador Rd, Sunset, SC, 29685-2902, USA",35.0279366,-82.7983335
Camp Quest - Chesapeake,PO Box 652Haymarket,,,"Camp Quest, Inc.",Vienna,VA,,1.0,20168-0652,"PO Box 652Haymarket, Vienna, VA, 20168-0652, USA",38.9012225,-77.2652604
Camp Goodtimes,4616 25th Ave NE # 461,"Independent, Not for Profit",Gus Peterson,Good Times Project,Seattle,WA,,1.0,98105-4183,"4616 25th Ave NE # 461, Seattle, WA, 98105-4183, USA",47.6623703,-122.3001332
Mt Gilead Bible Camp and Conference Center,13485 Green Valley Rd,Nondenominational Christian,David F. Gould,Presbyterian Mo-Ranch Assembly (Campfire Collective),Sebastopol,CA,,1.0,13485,"13485 Green Valley Rd, Sebastopol, CA, 13485, USA",38.4534627,-122.9410819
Camp Pack Forest,276 Pack Forest Road,"Government, State/Federal",Randall Caccia,New York Department of Environmental Conservation Summer Camps,Warrensburg,NY,,2.0,12885,"276 Pack Forest Road, Warrensburg, NY, 12885, USA",43.5538381,-73.8140902
Camp Birchwood,,"Independent, For Profit",Georgia and Samuel Del Favero,Camp Birchwood (Operator),Laporte,MN,,1.0,,"nan, Laporte, MN, nan, USA",47.2138445,-94.75416829999999
The Country Experience at Amstutz Family Farm,115 Wind Mill Rd,,,Ed Amstutz (Operator),Elizabeth,IL,,1.0,61028-9595,"115 Wind Mill Rd, Elizabeth, IL, 61028-9595, USA",42.3153982,-90.22386259999999
Cedarbrook Camp in Pennsylvania,480 Forest Road,Nondenominational Christian,,Cedarbrook Camp in Pennsylvania (Cedarbrook),Denver,PA,,2.0,17517,"480 Forest Road, Denver, PA, 17517, USA",40.2956185,-76.1847361
Camp To Belong Georgia,6101 Golden LndgCanton,School (Elementary/Middle/High),Julie Stevenson,Camp to Belong International,Warm Springs,GA,,1.0,30114-8965,"6101 Golden LndgCanton, Warm Springs, GA, 30114-8965, USA",32.8904081,-84.6810381
Camp Neofa,PO Box 101,"Independent, Not for Profit",Bonnie Adkins,Northeast Odd Fellows Association,Liberty,ME,,1.0,04949-0101,"PO Box 101, Liberty, ME, 04949-0101, USA",44.3893688,-69.3026507
Camp Rising Sun,"2300 Menaul Blvd NEAlbuquerque, NM","Independent, Not for Profit",Paul Brouse,Camp Rising Sun (Operator),Colebrook,CT,Accredited Member,1.0,87107-1851,"2300 Menaul Blvd NEAlbuquerque, NM, Colebrook, CT, 87107-1851, USA",35.1086661,-106.6177168
Camp Rising Sun,2300 Menaul Blvd NE,"Independent, Not for Profit",Paul Brouse,Camp Rising Sun (Operator),Albuquerque,NM,,1.0,87107-1851,"2300 Menaul Blvd NE, Albuquerque, NM, 87107-1851, USA",35.1086661,-106.6177168
DYF Camp de los Ninos,16275 State Route 9Boulder Creek,"Independent, Not for Profit",Janet Kramschuster,DYF Camp de los Ninos,Concord,CA,,1.0,16275,"16275 State Route 9Boulder Creek, Concord, CA, 16275, USA",37.1633928,-122.1363047
Trackers Earth - Bay Area,"3049 Adeline StBerkeley, CA","Independent, For Profit",,Trackers Earth (Operator),Portland,OR,,1.0,94703-2544,"3049 Adeline StBerkeley, CA, Portland, OR, 94703-2544, USA",36.778261,-119.4179324
YMCA Camp Spaulding,210 Bog Rd,YMCA,Josh Schupack,YMCA Camp Spaulding-YMCA of Greater Nashua,Concord,NH,,3.0,03303-1000,"210 Bog Rd, Concord, NH, 03303-1000, USA",43.2499506,-71.61343889999999
River Mountain Retreat,3600 Black Valley Rd,"Independent, For Profit",Liz Buhrman,River Mountain Retreat,Everett,PA,,2.0,15537-8009,"3600 Black Valley Rd, Everett, PA, 15537-8009, USA",39.85304259999999,-78.5000132
Camp Summergold,2001 Sewell St,"Independent, Not for Profit",Judy Hart,Camp Summergold (Operator),Lincoln,NE,,1.0,68502-3847,"2001 Sewell St, Lincoln, NE, 68502-3847, USA",40.7897298,-96.6917783
Camp WorldLight,2650 Lakeshore Dr,"Baptist, Southern",Anne Wilson,Florida Baptist Convention,Marianna,FL,,1.0,32446-0171,"2650 Lakeshore Dr, Marianna, FL, 32446-0171, USA",30.753563,-85.1844251
Magic Sky Ranch,,Girl Scouts of the USA,,YMCA of San Diego County,Red Feather Lakes,CO,,2.0,,"nan, Red Feather Lakes, CO, nan, USA",40.802481,-105.5916629
Riverside Camp and Retreat Center,7305 County Road 78,United Methodist,Martha Pierce,Girl Scouts - Maine,Fort Denaud,FL,,1.0,33935-0552,"7305 County Road 78, Fort Denaud, FL, 33935-0552, USA",26.72457,-81.5387633
Adventure Treks,1899 Berea Church Rd,Nondenominational Christian,Dave McGlashan,Adventure Summer Day Camp (Operator),Hendersonville,NC,,1.0,28739-2429,"1899 Berea Church Rd, Hendersonville, NC, 28739-2429, USA",35.25525,-82.50492919999999
ICC Summer Engineering Camp,1851 E US Highway 169,"Government, State/Federal",Kimberly Damiani,Bart Johnson,Grand Rapids,MN,,1.0,55744-3361,"1851 E US Highway 169, Grand Rapids, MN, 55744-3361, USA",47.2430787,-93.49727399999999
Camp Sierra,52050 Huntington Lake Rd,,,The Ohio State University/Recreational Sports,Big Creek,CA,,1.0,52050,"52050 Huntington Lake Rd, Big Creek, CA, 52050, USA",37.1930505,-119.2590118
Camp Joy Hollow,,Girl Scouts of the USA,Abbie Orozco,Special Camps for Special Kids,Westfield,IA,,1.0,,"nan, Westfield, IA, nan, USA",42.7562147,-96.6039438
The Story School,73 Pumpkin Ln,"Independent, Not for Profit",Chris Wiley / Laura Hall,Diabetes Association Inc,Charlton,MA,,2.0,01507-5217,"73 Pumpkin Ln, Charlton, MA, 01507-5217, USA",42.1077153,-71.9985715
Camp Bovey,,"Independent, Not for Profit",Kathy Kolosky,East Side Neighborhood Service,Gordon,WI,,2.0,,"nan, Gordon, WI, nan, USA",46.2468856,-91.79852179999999
Earlham College,801 National Rd W,College or University,Jill Nelson,Eagle Island Camp (Operator),Richmond,IN,,2.0,47374-4021,"801 National Rd W, Richmond, IN, 47374-4021, USA",39.8259621,-84.913358
American Explorer Academy ,"14118 Islamorada DrOrlando, FL",Roman Catholic,Arley Avila,Lindsey J Fadner (Operator),,,,,14118,"14118 Islamorada DrOrlando, FL, nan, nan, 14118, USA",24.9242943,-80.62783639999999
International Summer Camp at Jim Thorpe,76 Wild Creek Dr,"Independent, For Profit",Dennis Bennett,International Summer Camp at Jim Thorpe (Operator),Jim Thorpe,PA,,1.0,18229-2713,"76 Wild Creek Dr, Jim Thorpe, PA, 18229-2713, USA",40.9447998,-75.6452888
Camp Rockmont,375 Lake Eden Rd,Nondenominational Christian,Austin Ashcraft,Camp Rockmont (Operator),Black Mountain,NC,,2.0,28711-8709,"375 Lake Eden Rd, Black Mountain, NC, 28711-8709, USA",35.6333612,-82.3728264
English Camp,"Rua Haddock Lebo 1421Loja 06, Brazil 00000-BRAZIL","Independent, For Profit",,English Camp (Operator),Itapetininga,,,1.0,00000,"Rua Haddock Lebo 1421Loja 06, Brazil 00000-BRAZIL, Itapetininga, nan, 00000, USA",-23.5823667,-48.03608029999999
Akahiao Nature Institute,72-3663 Mamalahoa Hwy,,,Akahiao Nature Institute (Operator),Kailua Kona,HI,,1.0,96740,"72-3663 Mamalahoa Hwy, Kailua Kona, HI, 96740, USA",19.8002314,-156.0096943
Quaker Cove Camp,14694 Gibralter Rd,,,Northwest Yearly Meeting of Friends Churches,Anacortes,WA,,1.0,14694,"14694 Gibralter Rd, Anacortes, WA, 14694, USA",48.4289232,-122.5841187
Interlochen Arts Camp,4000 Highway M-137,"Independent, Not for Profit",Heather Lee,Interlochen Arts Camp (Operator),Interlochen,MI,,1.0,49643-8427,"4000 Highway M-137, Interlochen, MI, 49643-8427, USA",44.64537379999999,-85.7676077
Camp Trollhaugen,15811 E Burnside St Apt 67,,,Sons of Norway Youth Camps District 2,Portland,OR,,1.0,15811,"15811 E Burnside St Apt 67, Portland, OR, 15811, USA",45.5225064,-122.5008037
Camp Colby,90 Camp Colby Rd,"Government, State/Federal",Randall Caccia,New York Department of Environmental Conservation Summer Camps,Saranac Lake,NY,,2.0,12983-5423,"90 Camp Colby Rd, Saranac Lake, NY, 12983-5423, USA",44.3501583,-74.1466454
CampOUT Florida Corporation,,"Independent, Not for Profit",Rachel Sobiech,CampOUT Florida Corporation (Operator),Orange Springs,FL,,1.0,,"nan, Orange Springs, FL, nan, USA",29.50608159999999,-81.9453664
Marmon Valley Ministries,7754 State Route 292 S,Nondenominational Christian,Matthew Wiley,Marmon Valley Ministries (Operator),Zanesfield,OH,,2.0,43360-9797,"7754 State Route 292 S, Zanesfield, OH, 43360-9797, USA",40.32814820000001,-83.6592397
Steve Ferroli Baseball Camp,PO Box 1127Pembroke,"Independent, For Profit",Steve Ferroli,Steve Ferroli Baseball Camp,Hanson,MA,,1.0,02359-1127,"PO Box 1127Pembroke, Hanson, MA, 02359-1127, USA",42.0698312,-70.80010279999999
Camp Winnebago,19708 Camp Winnebago Rd,"Independent, Not for Profit",Laurie Maloney,Camp Winnebago (Operator),Caledonia,MN,,2.0,19708,"19708 Camp Winnebago Rd, Caledonia, MN, 19708, USA",43.5665918,-91.47608079999999
PPA International,630 9th Ave Ste 1411,,,PPA International,New York,NY,,1.0,10036-3741,"630 9th Ave Ste 1411, New York, NY, 10036-3741, USA",40.7599873,-73.991247
Camp Lifetree,1515 Cascade Ave,,,Group Cares,Loveland,CO,,1.0,80538-8681,"1515 Cascade Ave, Loveland, CO, 80538-8681, USA",40.4085865,-105.1325654
Pocono Environmental Education Center,538 Emery Rd,"Independent, Not for Profit",Andrea Ace,Pocono Environmental Education Center,Dingmans Ferry,PA,,1.0,18328-9427,"538 Emery Rd, Dingmans Ferry, PA, 18328-9427, USA",41.1713082,-74.91400159999999
Learn & Experience,"Back Lane, North Yorkshire BD23 6LXUNITED KINGDOM","Independent, For Profit",Samuel Ridgway,Learn & Experience,Hetton,,,1.0,,"Back Lane, North Yorkshire BD23 6LXUNITED KINGDOM, Hetton, nan, nan, USA",54.0248297,-2.0606397
Grier Summer Camp,Route 453 South,"Independent, For Profit",Helen Zientek,The Grier School,Tyrone,PA,,1.0,16686,"Route 453 South, Tyrone, PA, 16686, USA",40.678667,-78.2461817
YMCA Camp Indepdendence,32405 N US Highway 12,YMCA,Rona Roffey,YMCA of Metro Chicago,Volo,IL,,1.0,32405,"32405 N US Highway 12, Volo, IL, 32405, USA",42.3385114,-88.1617469
Summer at LA,26 Powderhouse Rd,"Independent, Not for Profit",Michelle Waldie,Lawrence Academy,Groton,MA,,1.0,01450-4700,"26 Powderhouse Rd, Groton, MA, 01450-4700, USA",42.6051909,-71.5672721
Camp Darden,18406 Darden Scout Rd,,,Girl Scouts - Colonial Coast,Courtland,VA,,1.0,18406,"18406 Darden Scout Rd, Courtland, VA, 18406, USA",36.7622603,-77.00574069999999
Easterseals Camp Hemlocks,PO Box 198,,,Easterseals of Oak Hill,Hebron,CT,,1.0,06248-0198,"PO Box 198, Hebron, CT, 06248-0198, USA",41.6833811,-72.4139787
Oakland School and Camp,128 Oakland Farm Way,School (Elementary/Middle/High),,Bug Juice Properties Inc,Troy,VA,,1.0,22974-3978,"128 Oakland Farm Way, Troy, VA, 22974-3978, USA",37.9526888,-78.3119166
Camp Challenge,"8914 US Highway 50 EBedford, IN",Nondenominational Christian,Brian Klein,Camp Cedar Crest,New Orleans,LA,,1.0,47421-8704,"8914 US Highway 50 EBedford, IN, New Orleans, LA, 47421-8704, USA",38.8727344,-86.2908745
Camp Challenge,8914 US Highway 50 E,Nondenominational Christian,Brian Klein,Camp Cedar Crest,Bedford,IN,,1.0,47421-8704,"8914 US Highway 50 E, Bedford, IN, 47421-8704, USA",38.8743307,-86.3226909
Bethany Hills Camp,1080 Bethany Hills Rd,Disciples of Christ,Each rental provides own director & counselors,Christian Church in Tennessee,Kingston Springs,TN,,1.0,37082-9268,"1080 Bethany Hills Rd, Kingston Springs, TN, 37082-9268, USA",36.10216,-87.16757609999999
